trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
126,False,"{'a': 0.01, 'e': 0.3058169083782893}",20,5,-5.315793412349655,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
127,False,"{'a': 0.01, 'e': 0.2962808729253187}",20,11,2.0411057996666413,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
128,False,"{'a': 0.01, 'e': 0.28671520963195546}",25,8,-3.1106624727424377,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
129,False,"{'a': 0.01, 'e': 0.2771208750565576}",35,7,-58.951973742309,"{0: 24, 1: 0, 2: 2, 3: 0, 4: 2}",1
130,False,"{'a': 0.01, 'e': 0.26749882862458735}",20,14,13.288626037931515,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.01, 'e': 0.2578500325326696}",20,5,27.416696242368836,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.01, 'e': 0.2481754516523729}",25,15,18.321188315036068,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.01, 'e': 0.23847605343372313}",20,11,-11.733841130708962,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
134,False,"{'a': 0.01, 'e': 0.22875280780845939}",20,5,13.8841997446831,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
135,False,"{'a': 0.01, 'e': 0.2190066870930415}",20,0,5.310058408151876,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
136,False,"{'a': 0.01, 'e': 0.20923866589141926}",20,14,10.455616150283507,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.01, 'e': 0.19944972099757285}",25,0,-28.867385166223272,"{0: 17, 1: 5, 2: 3, 3: 0, 4: 0}",0
138,False,"{'a': 0.01, 'e': 0.18964083129783424}",20,15,9.832643260693363,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.01, 'e': 0.17981297767299934}",20,0,-21.289879543462,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
140,False,"{'a': 0.01, 'e': 0.16996714290024081}",30,20,19.053359456603093,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.01, 'e': 0.16010431155483126}",30,15,10.735830128874808,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.01, 'e': 0.15022546991168584}",25,3,18.118372149401825,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
143,False,"{'a': 0.01, 'e': 0.1403316058467367}",20,8,21.07345476981679,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.01, 'e': 0.13042370873814554}",20,10,-5.80451610177823,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
